vendor_id,vendor_name,category,spend_amount,date,department,payment_method,transaction_type,year,month,month_name,quarter,quarter_label,spend_tier
V008,Hexaware Technologies,IT Services,10459.9,22-10-2023,HR,Unknown,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V011,Amazon Web Services,Cloud Infrastructure,33309.16,17-09-2023,Marketing,RTGS,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V002,Infosys Ltd,Legal & Compliance,79846.74,16-02-2023,IT,RTGS,Invoice,2023,2,February,1,Q1,Strategic (₹50K–2L)
V007,Mphasis,Logistics,27262.36,01-01-2023,Operations,Bank Transfer,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V008,Hexaware Technologies,Legal & Compliance,26936.65,20-11-2023,R&D,Cheque,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V006,L&T Infotech,Marketing,44606.82,03-03-2023,Procurement,UPI,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V019,DHL India,Telecom,6570.22,30-09-2023,Operations,Unknown,Invoice,2023,9,September,3,Q3,Tail (<₹10K)
V016,Reliance Jio,Unknown,117084.85,06-06-2023,Legal,Unknown,Invoice,2023,6,June,2,Q2,Strategic (₹50K–2L)
V003,Wipro Technologies,IT Services,24308.92,29-08-2023,Procurement,Bank Transfer,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V011,Amazon Web Services,Marketing,8222.43,13-09-2023,IT,UPI,Invoice,2023,9,September,3,Q3,Tail (<₹10K)
V002,Infosys Ltd,IT Services,71178.17,15-04-2023,Finance,RTGS,Invoice,2023,4,April,2,Q2,Strategic (₹50K–2L)
V020,BLUE DART EXPRESS,HR & Payroll,10485.09,07-01-2023,Operations,Credit Card,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V016,RELIANCE JIO,Legal & Compliance,21417.14,10-10-2023,Administration,NEFT,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V015,IBM India,Legal & Compliance,21921.55,11-09-2023,Finance,Unknown,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V001,Tata Consultancy Services,Facilities,57663.57,14-03-2023,Operations,Credit Card,Invoice,2023,3,March,1,Q1,Strategic (₹50K–2L)
V012,Microsoft India,HR & Payroll,447246.3,20-03-2023,Administration,Cheque,Invoice,2023,3,March,1,Q1,Critical (>₹2L)
V014,SAP India,Marketing,6388.78,15-04-2023,Marketing,RTGS,Invoice,2023,4,April,2,Q2,Tail (<₹10K)
V012,Microsoft India,IT Services,49675.46,08-09-2023,Procurement,Bank Transfer,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V005,Tech Mahindra,Facilities,19692.25,24-01-2023,Administration,Bank Transfer,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V006,L&T Infotech,Logistics,129126.35,01-12-2023,R&D,UPI,Invoice,2023,12,December,4,Q4,Strategic (₹50K–2L)
V013,Oracle India,HR & Payroll,3655.78,13-03-2023,Marketing,NEFT,Invoice,2023,3,March,1,Q1,Tail (<₹10K)
V016,Reliance Jio,Telecom,30268.35,02-10-2023,Marketing,Bank Transfer,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V017,Airtel Business,Telecom,29973.64,15-04-2023,Legal,RTGS,Invoice,2023,4,April,2,Q2,Mid (₹10K–50K)
V003,Wipro Technologies,Cloud Infrastructure,11236.62,01-11-2023,Legal,UPI,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V001,Tata Consultancy Services,Marketing,184360.22,11-07-2023,Administration,Cheque,Invoice,2023,7,July,3,Q3,Strategic (₹50K–2L)
V010,Capgemini India,Marketing,93829.85,17-11-2023,Marketing,UPI,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V020,BLUE DART EXPRESS,Legal & Compliance,11537.43,16-02-2023,IT,Credit Card,Invoice,2023,2,February,1,Q1,Mid (₹10K–50K)
V017,Airtel Business,HR & Payroll,57111.49,09-09-2023,Operations,RTGS,Invoice,2023,9,September,3,Q3,Strategic (₹50K–2L)
V002,Infosys Ltd,Facilities,275011.99,16-01-2023,Administration,Cheque,Invoice,2023,1,January,1,Q1,Critical (>₹2L)
V013,Oracle India,HR & Payroll,16113.39,02-03-2023,Legal,NEFT,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V003,Wipro Technologies,Logistics,56382.71,04-12-2023,Finance,RTGS,Invoice,2023,12,December,4,Q4,Strategic (₹50K–2L)
V009,Cognizant India,Telecom,10150.07,04-03-2023,Administration,Bank Transfer,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V015,IBM India,Facilities,36544.74,22-07-2023,Finance,UPI,Invoice,2023,7,July,3,Q3,Mid (₹10K–50K)
V011,Amazon Web Services,HR & Payroll,11275.44,07-07-2023,Sales,UPI,Invoice,2023,7,July,3,Q3,Mid (₹10K–50K)
V015,IBM India,Facilities,19231.17,04-08-2023,Marketing,RTGS,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V010,Capgemini India,Telecom,54110.14,28-01-2023,R&D,Unknown,Invoice,2023,1,January,1,Q1,Strategic (₹50K–2L)
V005,Tech Mahindra,Logistics,742.84,28-02-2023,HR,Bank Transfer,Invoice,2023,2,February,1,Q1,Tail (<₹10K)
V013,ORACLE INDIA,Marketing,10085.51,23-05-2023,HR,Unknown,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V013,Oracle India,Cloud Infrastructure,36544.74,09-12-2023,Procurement,Bank Transfer,Invoice,2023,12,December,4,Q4,Mid (₹10K–50K)
V015,IBM India,IT Services,89529.16,28-05-2023,HR,Credit Card,Invoice,2023,5,May,2,Q2,Strategic (₹50K–2L)
V011,amazon web services,Cloud Infrastructure,48916.24,21-10-2023,Operations,Credit Card,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V018,BSNL,Telecom,35178.25,07-01-2023,Operations,UPI,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V015,IBM India,Telecom,41955.08,24-11-2023,Sales,RTGS,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V018,BSNL,Unknown,33106.27,22-05-2023,Procurement,NEFT,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V003,Wipro Technologies,Logistics,24876.45,29-01-2023,R&D,RTGS,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V004,HCL TECHNOLOGIES,Logistics,65910.76,25-04-2023,HR,NEFT,Invoice,2023,4,April,2,Q2,Strategic (₹50K–2L)
V007,Mphasis,IT Services,40291.98,31-08-2023,Finance,NEFT,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V011,Amazon Web Services,Cloud Infrastructure,145847.19,26-04-2023,IT,Unknown,Invoice,2023,4,April,2,Q2,Strategic (₹50K–2L)
V001,Tata Consultancy Services,Legal & Compliance,16745.02,15-08-2023,Administration,Cheque,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V016,Reliance Jio,Logistics,35415.97,04-03-2023,Marketing,UPI,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V010,CAPGEMINI INDIA,Facilities,54726.71,14-11-2023,Legal,Cheque,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V020,Blue Dart Express,Logistics,17672.05,05-09-2023,Marketing,NEFT,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V007,Mphasis,HR & Payroll,20283.51,19-08-2023,Finance,Bank Transfer,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V009,Cognizant India,Legal & Compliance,36544.74,10-05-2023,Administration,NEFT,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V009,Cognizant India,Unknown,37399.48,11-06-2023,IT,Bank Transfer,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V003,Wipro Technologies,Facilities,37127.09,08-08-2023,Procurement,Cheque,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V005,Tech Mahindra,Legal & Compliance,18687.7,22-09-2023,Sales,Unknown,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V002,Infosys Ltd,HR & Payroll,78144.19,18-08-2023,Operations,NEFT,Invoice,2023,8,August,3,Q3,Strategic (₹50K–2L)
V010,Capgemini India,Logistics,27919.46,03-02-2023,IT,Unknown,Invoice,2023,2,February,1,Q1,Mid (₹10K–50K)
V009,Cognizant India,Cloud Infrastructure,256360.17,07-12-2023,Legal,Credit Card,Invoice,2023,12,December,4,Q4,Critical (>₹2L)
V013,Oracle India,Logistics,19323.82,16-03-2023,Administration,Bank Transfer,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V003,Wipro Technologies,Cloud Infrastructure,97446.02,30-11-2023,Finance,UPI,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V008,Hexaware Technologies,HR & Payroll,28462.58,28-10-2023,Administration,UPI,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V004,HCL Technologies,Cloud Infrastructure,54687.06,25-11-2023,HR,Credit Card,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V018,BSNL,Marketing,184884.77,09-08-2023,Legal,Bank Transfer,Invoice,2023,8,August,3,Q3,Strategic (₹50K–2L)
V018,BSNL,IT Services,20767.08,17-01-2023,HR,Unknown,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V011,Amazon Web Services,Facilities,82723.73,14-03-2023,Administration,UPI,Invoice,2023,3,March,1,Q1,Strategic (₹50K–2L)
V003,Wipro Technologies,HR & Payroll,19219.7,17-06-2023,Sales,Cheque,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V002,Infosys Ltd,Telecom,66568.36,26-02-2023,Operations,Unknown,Invoice,2023,2,February,1,Q1,Strategic (₹50K–2L)
V009,cognizant india,Marketing,26269.14,23-09-2023,Legal,UPI,Invoice,2023,9,September,3,Q3,Mid (₹10K–50K)
V010,Capgemini India,IT Services,1870.62,09-04-2023,IT,Unknown,Invoice,2023,4,April,2,Q2,Tail (<₹10K)
V006,L&T Infotech,Cloud Infrastructure,6527.83,13-03-2023,HR,NEFT,Invoice,2023,3,March,1,Q1,Tail (<₹10K)
V018,BSNL,Marketing,4898.64,26-01-2023,Operations,Cheque,Invoice,2023,1,January,1,Q1,Tail (<₹10K)
V008,Hexaware Technologies,Facilities,36544.74,15-12-2023,Legal,NEFT,Invoice,2023,12,December,4,Q4,Mid (₹10K–50K)
V012,Microsoft India,Cloud Infrastructure,16634.41,04-06-2023,Legal,RTGS,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V004,HCL Technologies,Logistics,4378.02,18-04-2023,R&D,Credit Card,Invoice,2023,4,April,2,Q2,Tail (<₹10K)
V012,Microsoft India,IT Services,59595.61,15-10-2023,R&D,RTGS,Invoice,2023,10,October,4,Q4,Strategic (₹50K–2L)
V015,IBM India,Legal & Compliance,64079.84,10-06-2023,Procurement,Credit Card,Invoice,2023,6,June,2,Q2,Strategic (₹50K–2L)
V014,SAP India,Facilities,213944.7,23-12-2023,R&D,Bank Transfer,Invoice,2023,12,December,4,Q4,Critical (>₹2L)
V015,IBM India,Legal & Compliance,3489.43,26-01-2023,Finance,RTGS,Invoice,2023,1,January,1,Q1,Tail (<₹10K)
V002,infosys ltd,IT Services,46947.06,06-07-2023,Administration,Cheque,Invoice,2023,7,July,3,Q3,Mid (₹10K–50K)
V014,SAP India,Facilities,19888.39,28-08-2023,IT,NEFT,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V012,Microsoft India,Unknown,55789.72,08-12-2023,Sales,RTGS,Invoice,2023,12,December,4,Q4,Strategic (₹50K–2L)
V001,TATA CONSULTANCY SERVICES,Cloud Infrastructure,143272.67,16-08-2023,Procurement,Cheque,Invoice,2023,8,August,3,Q3,Strategic (₹50K–2L)
V004,HCL TECHNOLOGIES,Legal & Compliance,36544.74,13-12-2023,Operations,Unknown,Invoice,2023,12,December,4,Q4,Mid (₹10K–50K)
V002,Infosys Ltd,Legal & Compliance,98251.59,18-12-2023,Procurement,NEFT,Invoice,2023,12,December,4,Q4,Strategic (₹50K–2L)
V005,Tech Mahindra,Logistics,233262.87,05-09-2023,Procurement,Cheque,Invoice,2023,9,September,3,Q3,Critical (>₹2L)
V009,Cognizant India,Cloud Infrastructure,129328.3,26-07-2023,Operations,UPI,Invoice,2023,7,July,3,Q3,Strategic (₹50K–2L)
V004,HCL Technologies,Logistics,9627.68,25-02-2023,Finance,UPI,Invoice,2023,2,February,1,Q1,Tail (<₹10K)
V014,SAP India,Telecom,949986.45,05-07-2023,Administration,UPI,Invoice,2023,7,July,3,Q3,Critical (>₹2L)
V011,Amazon Web Services,IT Services,12698.74,18-10-2023,Legal,UPI,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V005,Tech Mahindra,HR & Payroll,67725.35,22-04-2023,Finance,UPI,Invoice,2023,4,April,2,Q2,Strategic (₹50K–2L)
V005,Tech Mahindra,Cloud Infrastructure,36544.74,27-06-2023,Sales,Bank Transfer,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V018,BSNL,Legal & Compliance,41805.9,29-05-2023,IT,Bank Transfer,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V006,L&T Infotech,IT Services,91586.42,24-11-2023,Procurement,RTGS,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V008,Hexaware Technologies,Legal & Compliance,16580.87,23-01-2023,IT,RTGS,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V006,L&T Infotech,Logistics,39572.1,10-07-2023,Operations,Unknown,Invoice,2023,7,July,3,Q3,Mid (₹10K–50K)
V013,Oracle India,Logistics,52949.65,06-01-2023,Sales,Credit Card,Invoice,2023,1,January,1,Q1,Strategic (₹50K–2L)
V001,Tata Consultancy Services,Facilities,12983.19,18-12-2023,Procurement,Bank Transfer,Invoice,2023,12,December,4,Q4,Mid (₹10K–50K)
V008,Hexaware Technologies,Facilities,20434.72,23-05-2023,Legal,Unknown,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V013,Oracle India,IT Services,39488.41,14-08-2023,IT,Cheque,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V003,Wipro Technologies,IT Services,40802.27,13-04-2023,HR,Unknown,Invoice,2023,4,April,2,Q2,Mid (₹10K–50K)
V011,Amazon Web Services,Telecom,67274.94,15-02-2023,Legal,Cheque,Invoice,2023,2,February,1,Q1,Strategic (₹50K–2L)
V007,Mphasis,Facilities,11756.3,27-11-2023,Marketing,Bank Transfer,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V006,L&T INFOTECH,Facilities,46358.33,12-10-2023,Administration,Credit Card,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V014,SAP India,Cloud Infrastructure,383720.68,22-08-2023,Administration,UPI,Invoice,2023,8,August,3,Q3,Critical (>₹2L)
V018,BSNL,Telecom,85545.24,31-07-2023,HR,RTGS,Invoice,2023,7,July,3,Q3,Strategic (₹50K–2L)
V017,Airtel Business,Marketing,25590.27,09-03-2023,Sales,Credit Card,Invoice,2023,3,March,1,Q1,Mid (₹10K–50K)
V015,IBM India,Facilities,49281.55,22-02-2023,R&D,Bank Transfer,Invoice,2023,2,February,1,Q1,Mid (₹10K–50K)
V002,Infosys Ltd,Legal & Compliance,7997.94,21-09-2023,Marketing,Cheque,Invoice,2023,9,September,3,Q3,Tail (<₹10K)
V006,L&T Infotech,Legal & Compliance,98361.33,07-08-2023,Legal,Credit Card,Invoice,2023,8,August,3,Q3,Strategic (₹50K–2L)
V006,L&T Infotech,Unknown,116527.8,19-10-2023,Finance,RTGS,Invoice,2023,10,October,4,Q4,Strategic (₹50K–2L)
V017,Airtel Business,Legal & Compliance,39380.35,22-01-2023,Sales,Unknown,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V012,Microsoft India,Cloud Infrastructure,20681.38,08-05-2023,Operations,Credit Card,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V013,Oracle India,IT Services,21308.22,26-11-2023,Finance,NEFT,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V001,Tata Consultancy Services,Telecom,92001.56,06-03-2023,Finance,Bank Transfer,Invoice,2023,3,March,1,Q1,Strategic (₹50K–2L)
V015,IBM India,HR & Payroll,15639.21,07-11-2023,R&D,Credit Card,Invoice,2023,11,November,4,Q4,Mid (₹10K–50K)
V009,Cognizant India,Marketing,13867,04-05-2023,Operations,Credit Card,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V013,Oracle India,Cloud Infrastructure,20613.09,14-10-2023,Marketing,Cheque,Invoice,2023,10,October,4,Q4,Mid (₹10K–50K)
V008,Hexaware Technologies,Logistics,36764.19,09-05-2023,Operations,NEFT,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V020,Blue Dart Express,IT Services,121485.64,19-06-2023,Procurement,Credit Card,Invoice,2023,6,June,2,Q2,Strategic (₹50K–2L)
V003,Wipro Technologies,Legal & Compliance,34190.88,06-01-2023,Administration,RTGS,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V019,DHL India,Legal & Compliance,173958.94,21-08-2023,Marketing,Credit Card,Invoice,2023,8,August,3,Q3,Strategic (₹50K–2L)
V016,RELIANCE JIO,IT Services,110350.07,05-11-2023,HR,NEFT,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V001,Tata Consultancy Services,Cloud Infrastructure,52737.87,05-05-2023,Administration,Credit Card,Invoice,2023,5,May,2,Q2,Strategic (₹50K–2L)
V011,Amazon Web Services,HR & Payroll,27900.33,16-07-2023,HR,Credit Card,Invoice,2023,7,July,3,Q3,Mid (₹10K–50K)
V020,Blue Dart Express,Logistics,31644.39,04-06-2023,HR,Bank Transfer,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V019,DHL India,Telecom,28109.52,20-06-2023,HR,RTGS,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V018,BSNL,Legal & Compliance,51417.29,03-06-2023,Sales,Unknown,Invoice,2023,6,June,2,Q2,Strategic (₹50K–2L)
V012,Microsoft India,Cloud Infrastructure,69638.44,22-11-2023,R&D,NEFT,Invoice,2023,11,November,4,Q4,Strategic (₹50K–2L)
V015,IBM India,Telecom,228498.9,09-01-2023,Administration,Bank Transfer,Invoice,2023,1,January,1,Q1,Critical (>₹2L)
V020,Blue Dart Express,Marketing,11220.34,27-06-2023,Administration,Credit Card,Invoice,2023,6,June,2,Q2,Mid (₹10K–50K)
V008,Hexaware Technologies,Facilities,11940.41,17-01-2023,R&D,UPI,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V013,Oracle India,Telecom,22438.54,05-05-2023,R&D,Credit Card,Invoice,2023,5,May,2,Q2,Mid (₹10K–50K)
V018,BSNL,Marketing,117025.1,12-01-2023,Finance,RTGS,Invoice,2023,1,January,1,Q1,Strategic (₹50K–2L)
V005,Tech Mahindra,IT Services,20098.47,20-01-2023,Finance,NEFT,Invoice,2023,1,January,1,Q1,Mid (₹10K–50K)
V005,Tech Mahindra,Legal & Compliance,33811.95,09-02-2023,Administration,UPI,Invoice,2023,2,February,1,Q1,Mid (₹10K–50K)
V005,Tech Mahindra,Logistics,83130.99,17-05-2023,Legal,Unknown,Invoice,2023,5,May,2,Q2,Strategic (₹50K–2L)
V003,Wipro Technologies,Telecom,16396.96,19-02-2023,HR,Bank Transfer,Invoice,2023,2,February,1,Q1,Mid (₹10K–50K)
V016,Reliance Jio,Unknown,88094.02,18-09-2023,Finance,Bank Transfer,Invoice,2023,9,September,3,Q3,Strategic (₹50K–2L)
V015,IBM India,Legal & Compliance,139175.35,20-08-2023,HR,RTGS,Invoice,2023,8,August,3,Q3,Strategic (₹50K–2L)
V004,HCL Technologies,Logistics,27420.21,24-08-2023,Finance,UPI,Invoice,2023,8,August,3,Q3,Mid (₹10K–50K)
V004,HCL Technologies,IT Services,67936.58,16-06-2023,Finance,Unknown,Invoice,2023,6,June,2,Q2,Strategic (₹50K–2L)
