vendor_id,vendor_name,category,spend_amount,date,department,payment_method
V008,Hexaware Technologies,it services,10459.9,2023-10-22,HR,
V015,IBM India,,44778.95,11/06/2023,HR,Bank Transfer
V011,Amazon Web Services,CLOUD,33309.16,2023-09-17,Marketing,RTGS
V002,Infosys Ltd,legal compliance,79846.74,2023-02-16,IT,RTGS
V007,,Logistics,27262.36,2023-01-01,Operations,Bank Transfer
V008,Hexaware Technologies,LEGAL,26936.65,2023-11-20,R&D,Cheque
V006,L&T Infotech,MARKETING,44606.82,2023-03-03,Procurement,UPI
V019,DHL India,TELECOM,6570.22,2023-09-30,Operations,
V016,Reliance Jio,,117084.85,2023-06-06,Legal,
V003,Wipro Technologies,IT services,24308.92,2023-08-29,Procurement,Bank Transfer
V011,Amazon Web Services,Marketing,8222.43,2023-09-13,IT,UPI
V002,Infosys Ltd,it services,71178.17,2023-04-15,Finance,RTGS
V020,,Human Resources,10485.09,2023-01-07,Operations,Credit Card
V016,RELIANCE JIO,legal compliance,21417.14,2023-10-10,Administration,NEFT
V015,IBM India,Legal,21921.55,2023-09-11,Finance,
V001,Tata Consultancy Services,facilities,57663.57,2023-03-14,Operations,Credit Card
V012,Microsoft India,HR & Payroll,447246.3,2023-03-20,Administration,Cheque
V014,SAP India,MARKETING,6388.78,2023-04-15,Marketing,RTGS
V012,Microsoft India,IT Services,49675.46,2023-09-08,Procurement,Bank Transfer
V005,Tech Mahindra,Facility Management,19692.25,2023-01-24,Administration,Bank Transfer
V006,L&T Infotech,Supply Chain,129126.35,2023-12-01,R&D,UPI
V013,Oracle India,HR Payroll,3655.78,2023-03-13,Marketing,NEFT
V016,Reliance Jio,Telecommunication,30268.35,2023-10-02,Marketing,Bank Transfer
V017,Airtel Business,Telecommunication,29973.64,2023-04-15,Legal,RTGS
V003,Wipro Technologies,Cloud Infra,11236.62,2023-11-01,Legal,UPI
V001,Tata Consultancy Services,Mktg,184360.22,2023-07-11,Administration,Cheque
V010,Capgemini India,Mktg,93829.85,2023-11-17,Marketing,UPI
V020,BLUE DART EXPRESS,Legal & Compliance,11537.43,2023-02-16,IT,Credit Card
V017,Airtel Business,HR/Payroll,57111.49,2023-09-09,Operations,RTGS
V002,,facilities,275011.99,2023-01-16,Administration,Cheque
V013,Oracle India,HR & Payroll,16113.39,2023-03-02,Legal,NEFT
V003,Wipro Technologies,Logistic,56382.71,2023-12-04,Finance,RTGS
V009,Cognizant India,Telecom,10150.07,2023-03-04,Administration,Bank Transfer
V015,IBM India,Facility Management,,2023-07-22,Finance,UPI
V011,,HR & Payroll,11275.44,2023-07-07,Sales,UPI
V015,IBM India,Facilities,19231.17,2023-08-04,Marketing,RTGS
V010,Capgemini India,Telecom,54110.14,2023-01-28,R&D,
V005,Tech Mahindra,logistics,742.84,2023-02-28,HR,Bank Transfer
V013,ORACLE INDIA,marketing,10085.51,2023-05-23,HR,
V013,Oracle India,Cloud Infra,,2023-12-09,Procurement,Bank Transfer
V015,IBM India,IT SERVICES,89529.16,2023-05-28,HR,Credit Card
V011,amazon web services,Cloud Infra,48916.24,2023-10-21,Operations,Credit Card
V018,BSNL,TELECOM,35178.25,2023-01-07,Operations,UPI
V013,ORACLE INDIA,marketing,17592.32,28/11/2023,HR,NEFT
V015,IBM India,TELECOM,41955.08,2023-11-24,Sales,RTGS
V018,BSNL,,33106.27,2023-05-22,Procurement,NEFT
V003,Wipro Technologies,logistics,24876.45,2023-01-29,R&D,RTGS
V004,HCL TECHNOLOGIES,logistics,65910.76,2023-04-25,HR,NEFT
V007,Mphasis,IT services,40291.98,2023-08-31,Finance,NEFT
V011,Amazon Web Services,Cloud Infrastructure,145847.19,2023-04-26,IT,
V001,Tata Consultancy Services,Legal & Compliance,16745.02,2023-08-15,Administration,Cheque
V016,Reliance Jio,logistics,35415.97,2023-03-04,Marketing,UPI
V010,CAPGEMINI INDIA,facilities,54726.71,2023-11-14,Legal,Cheque
V020,Blue Dart Express,Logistic,17672.05,2023-09-05,Marketing,NEFT
V007,Mphasis,HR Payroll,20283.51,2023-08-19,Finance,Bank Transfer
V009,Cognizant India,LEGAL,,2023-05-10,Administration,NEFT
V009,Cognizant India,,37399.48,2023-06-11,IT,Bank Transfer
V003,Wipro Technologies,FACILITIES,37127.09,2023-08-08,Procurement,Cheque
V005,Tech Mahindra,LEGAL,18687.7,2023-09-22,Sales,
V002,Infosys Ltd,HR Payroll,78144.19,2023-08-18,Operations,NEFT
V010,Capgemini India,Supply Chain,27919.46,2023-02-03,IT,
V009,Cognizant India,Cloud Infra,256360.17,2023-12-07,Legal,Credit Card
V013,,logistics,19323.82,2023-03-16,Administration,Bank Transfer
V003,Wipro Technologies,cloud infrastructure,97446.02,2023-11-30,Finance,UPI
V008,Hexaware Technologies,Human Resources,28462.58,2023-10-28,Administration,UPI
V004,HCL Technologies,Cloud Infra,54687.06,2023-11-25,HR,Credit Card
V018,BSNL,Marketing,184884.77,2023-08-09,Legal,Bank Transfer
V018,BSNL,it services,20767.08,2023-01-17,HR,
V011,Amazon Web Services,facilities,82723.73,2023-03-14,Administration,UPI
V003,Wipro Technologies,HR Payroll,19219.7,2023-06-17,Sales,Cheque
V002,Infosys Ltd,telecom,66568.36,2023-02-26,Operations,
V009,cognizant india,Mktg,26269.14,2023-09-23,Legal,UPI
V010,Capgemini India,IT services,1870.62,2023-04-09,IT,
V006,L&T Infotech,CLOUD,6527.83,2023-03-13,HR,NEFT
V018,BSNL,MARKETING,4898.64,2023-01-26,Operations,Cheque
V008,Hexaware Technologies,facilities,,2023-12-15,Legal,NEFT
V012,Microsoft India,cloud infrastructure,16634.41,2023-06-04,Legal,RTGS
V004,HCL Technologies,Logistic,4378.02,2023-04-18,R&D,Credit Card
V012,Microsoft India,IT services,59595.61,2023-10-15,R&D,RTGS
V015,IBM India,Legal & Compliance,64079.84,2023-06-10,Procurement,Credit Card
V014,SAP India,Facilities,213944.7,2023-12-23,R&D,Bank Transfer
V015,IBM India,LEGAL,3489.43,2023-01-26,Finance,RTGS
V002,infosys ltd,IT SERVICES,46947.06,2023-07-06,Administration,Cheque
V014,SAP India,facilities,19888.39,2023-08-28,IT,NEFT
V012,Microsoft India,,55789.72,2023-12-08,Sales,RTGS
V001,TATA CONSULTANCY SERVICES,CLOUD,143272.67,2023-08-16,Procurement,Cheque
V004,HCL TECHNOLOGIES,Legal,36544.74,2023-12-13,Operations,
V002,Infosys Ltd,Legal,98251.59,2023-12-18,Procurement,NEFT
V005,Tech Mahindra,logistics,233262.87,2023-09-05,Procurement,Cheque
V009,Cognizant India,Cloud Infrastructure,129328.3,2023-07-26,Operations,UPI
V004,HCL Technologies,Logistics,9627.68,2023-02-25,Finance,UPI
V014,SAP India,Telecommunication,949986.45,2023-07-05,Administration,UPI
V011,Amazon Web Services,IT services,12698.74,2023-10-18,Legal,UPI
V005,Tech Mahindra,HR Payroll,67725.35,2023-04-22,Finance,UPI
V005,Tech Mahindra,Cloud Infra,,2023-06-27,Sales,Bank Transfer
V018,BSNL,LEGAL,41805.9,2023-05-29,IT,Bank Transfer
V006,L&T Infotech,IT SERVICES,91586.42,2023-11-24,Procurement,RTGS
V008,Hexaware Technologies,Legal,16580.87,2023-01-23,IT,RTGS
V006,L&T Infotech,logistics,39572.1,2023-07-10,Operations,
V013,Oracle India,Logistics,52949.65,2023-01-06,Sales,Credit Card
V001,Tata Consultancy Services,facilities,12983.19,2023-12-18,Procurement,Bank Transfer
V008,Hexaware Technologies,facilities,20434.72,2023-05-23,Legal,
V013,Oracle India,it services,39488.41,2023-08-14,IT,Cheque
V003,Wipro Technologies,IT services,40802.27,2023-04-13,HR,
V011,Amazon Web Services,telecom,67274.94,2023-02-15,Legal,Cheque
V007,Mphasis,facilities,11756.3,2023-11-27,Marketing,Bank Transfer
V006,L&T INFOTECH,facilities,46358.33,2023-10-12,Administration,Credit Card
V014,SAP India,cloud infrastructure,40831.59,22/01/2023,Sales,NEFT
V014,SAP India,Cloud Infrastructure,383720.68,2023-08-22,Administration,UPI
V018,BSNL,Telecom,85545.24,2023-07-31,HR,RTGS
V017,Airtel Business,marketing,25590.27,2023-03-09,Sales,Credit Card
V015,IBM India,facilities,49281.55,2023-02-22,R&D,Bank Transfer
V002,Infosys Ltd,Legal & Compliance,7997.94,2023-09-21,Marketing,Cheque
V006,L&T Infotech,legal compliance,98361.33,2023-08-07,Legal,Credit Card
V006,L&T Infotech,,116527.8,2023-10-19,Finance,RTGS
V017,Airtel Business,legal compliance,39380.35,2023-01-22,Sales,
V012,Microsoft India,Cloud Infra,20681.38,2023-05-08,Operations,Credit Card
V013,Oracle India,it services,21308.22,2023-11-26,Finance,NEFT
V001,Tata Consultancy Services,Telecom,92001.56,2023-03-06,Finance,Bank Transfer
V015,IBM India,HR/Payroll,15639.21,2023-11-07,R&D,Credit Card
V020,Blue Dart Express,MARKETING,,14/06/2023,Sales,
V009,Cognizant India,Marketing,13867.0,2023-05-04,Operations,Credit Card
V013,Oracle India,Cloud Infra,20613.09,2023-10-14,Marketing,Cheque
V008,,Logistic,36764.19,2023-05-09,Operations,NEFT
V020,Blue Dart Express,IT SERVICES,121485.64,2023-06-19,Procurement,Credit Card
V003,Wipro Technologies,Legal,34190.88,2023-01-06,Administration,RTGS
V019,DHL India,Legal,173958.94,2023-08-21,Marketing,Credit Card
V016,RELIANCE JIO,it services,110350.07,2023-11-05,HR,NEFT
V001,Tata Consultancy Services,CLOUD,52737.87,2023-05-05,Administration,Credit Card
V011,,HR Payroll,27900.33,2023-07-16,HR,Credit Card
V020,Blue Dart Express,Logistic,31644.39,2023-06-04,HR,Bank Transfer
V019,DHL India,Telecommunication,28109.52,2023-06-20,HR,RTGS
V018,BSNL,logistics,225852.14,23/03/2023,Finance,Credit Card
V018,BSNL,LEGAL,51417.29,2023-06-03,Sales,
V012,Microsoft India,Cloud Infrastructure,69638.44,2023-11-22,R&D,NEFT
V015,IBM India,Telecommunication,228498.9,2023-01-09,Administration,Bank Transfer
V020,Blue Dart Express,MARKETING,11220.34,2023-06-27,Administration,Credit Card
V008,Hexaware Technologies,Facilities,11940.41,2023-01-17,R&D,UPI
V013,Oracle India,telecom,22438.54,2023-05-05,R&D,Credit Card
V018,BSNL,Mktg,117025.1,2023-01-12,Finance,RTGS
V005,Tech Mahindra,IT SERVICES,20098.47,2023-01-20,Finance,NEFT
V005,Tech Mahindra,legal compliance,33811.95,2023-02-09,Administration,UPI
V005,Tech Mahindra,Logistics,83130.99,2023-05-17,Legal,
V003,Wipro Technologies,Telecommunication,16396.96,2023-02-19,HR,Bank Transfer
V016,Reliance Jio,,88094.02,2023-09-18,Finance,Bank Transfer
V015,IBM India,LEGAL,139175.35,2023-08-20,HR,RTGS
V004,HCL Technologies,Logistics,27420.21,2023-08-24,Finance,UPI
V004,HCL Technologies,IT services,67936.58,2023-06-16,Finance,
V011,Amazon Web Services,facilities,100661.89,2023-06-03,R&D,UPI
V018,BSNL,Marketing,7377.4,2023-04-22,Marketing,Bank Transfer
V014,SAP India,HR & Payroll,16615.31,2023-01-27,Marketing,Credit Card
V006,L&T Infotech,Cloud Infra,43672.34,2023-03-21,Finance,NEFT
V020,Blue Dart Express,Facility Management,149541.34,2023-01-19,Sales,
V014,SAP India,HR & Payroll,121083.96,2023-08-04,HR,Credit Card
V002,Infosys Ltd,Logistics,73440.33,2023-02-16,Finance,NEFT
V019,DHL India,Legal & Compliance,45992.49,2023-01-26,Finance,UPI
V009,Cognizant India,Telecommunication,33276.45,2023-02-16,Operations,
V019,DHL India,Cloud Infrastructure,14024.38,2023-12-24,Marketing,Cheque
V003,Wipro Technologies,LEGAL,5243.48,2023-12-02,Marketing,Credit Card
V010,Capgemini India,FACILITIES,7446.15,2023-11-21,Operations,Credit Card
V011,Amazon Web Services,Mktg,35496.19,2023-01-09,IT,RTGS
V004,HCL Technologies,,38472.61,2023-04-27,R&D,UPI
V009,Cognizant India,telecom,4400.67,2023-06-17,Administration,UPI
V008,Hexaware Technologies,Legal & Compliance,13539.08,2023-11-03,R&D,
V008,Hexaware Technologies,IT Services,33973.73,2023-03-03,Legal,
V004,HCL Technologies,Facility Management,335284.2,2023-01-28,Administration,Credit Card
V007,Mphasis,logistics,17856.35,2023-02-25,IT,UPI
V019,DHL India,cloud infrastructure,-6271.57,2023-12-17,Marketing,UPI
V020,Blue Dart Express,CLOUD,67327.67,2023-06-30,Legal,
V011,Amazon Web Services,HR Payroll,17903.69,2023-09-21,R&D,NEFT
V010,,Facility Management,7448.14,2023-03-13,Administration,Credit Card
V011,Amazon Web Services,Mktg,48650.85,2023-06-03,Procurement,RTGS
V002,Infosys Ltd,Cloud Infra,,2023-03-02,Administration,
V005,tech mahindra,cloud infrastructure,1566.04,23/04/2023,Procurement,NEFT
V020,Blue Dart Express,Logistic,-20311.02,2023-02-22,Legal,Bank Transfer
V008,Hexaware Technologies,telecom,47976.18,2023-10-15,Finance,Cheque
V003,Wipro Technologies,facilities,29062.65,2023-06-19,Sales,Bank Transfer
V018,BSNL,HR & Payroll,14652.69,2023-01-07,Operations,Bank Transfer
V012,Microsoft India,LEGAL,15534.16,2023-08-11,R&D,RTGS
V015,IBM India,Legal & Compliance,40314.1,2023-11-10,Administration,
V020,Blue Dart Express,Logistic,17672.05,2023-09-05,Marketing,NEFT
V014,sap india,TELECOM,45172.31,2023-12-19,HR,Cheque
V005,Tech Mahindra,CLOUD,77601.21,2023-02-28,Marketing,
V013,Oracle India,Supply Chain,56047.97,2023-10-08,Procurement,
V007,Mphasis,facilities,66012.4,2023-06-03,Operations,NEFT
V001,Tata Consultancy Services,HR/Payroll,23817.69,2023-03-23,R&D,Cheque
V003,Wipro Technologies,Cloud Infrastructure,143112.65,2023-01-02,IT,Cheque
V014,SAP India,Legal,27419.67,2023-02-17,Operations,Cheque
V012,Microsoft India,,103443.9,2023-12-05,R&D,Cheque
V015,IBM India,HR/Payroll,31147.8,2023-12-27,Marketing,Credit Card
V013,Oracle India,logistics,14460.6,2023-09-09,Administration,NEFT
V015,IBM India,IT services,469601.64,2023-07-21,Operations,UPI
V014,sap india,Logistics,6669.07,2023-04-02,Sales,UPI
V008,Hexaware Technologies,Legal & Compliance,27856.91,2023-02-09,Marketing,UPI
V002,Infosys Ltd,Cloud Infrastructure,13457.92,2023-01-04,Finance,Cheque
V002,Infosys Ltd,marketing,8933.7,2023-05-16,HR,Credit Card
V007,Mphasis,Telecommunication,14362.68,2023-01-24,Marketing,Bank Transfer
V009,Cognizant India,,40542.78,2023-09-06,Sales,Credit Card
V005,Tech Mahindra,,50239.07,2023-03-27,Legal,Credit Card
V006,l&t infotech,Legal,25057.92,2023-12-09,Procurement,
V019,DHL India,IT SERVICES,76941.51,2023-06-04,Sales,Cheque
V019,DHL India,Telecommunication,22254.72,2023-09-14,HR,Bank Transfer
V008,hexaware technologies,Cloud Infra,,2023-12-03,Procurement,UPI
V002,Infosys Ltd,Marketing,89470.53,2023-12-23,Procurement,UPI
V009,Cognizant India,logistics,5151.02,2023-02-01,R&D,NEFT
V005,Tech Mahindra,Facility Management,55744.56,05/10/2023,Legal,Cheque
V020,Blue Dart Express,Supply Chain,64107.13,2023-01-08,Sales,UPI
V019,DHL India,Telecom,76798.76,2023-08-21,Finance,NEFT
V009,Cognizant India,HR/Payroll,66244.03,2023-03-24,Procurement,Credit Card
V006,l&t infotech,Logistics,30127.31,2023-06-06,R&D,Credit Card
V017,Airtel Business,Logistics,93386.45,2023-06-01,Administration,Credit Card
V004,HCL Technologies,facilities,26934.32,2023-10-31,Operations,UPI
V010,Capgemini India,Cloud Infra,135744.84,2023-04-29,R&D,UPI
V018,BSNL,Mktg,46953.47,2023-10-15,Procurement,
V004,HCL Technologies,HR Payroll,54513.07,2023-12-22,HR,Credit Card
V001,Tata Consultancy Services,Logistics,58299.14,2023-07-27,Procurement,Cheque
V013,Oracle India,HR & Payroll,,2023-05-22,HR,Credit Card
V005,Tech Mahindra,cloud infrastructure,38440.94,2023-10-16,Operations,
V018,BSNL,,11183.44,2023-11-25,Sales,NEFT
V004,HCL Technologies,Supply Chain,34918.3,2023-07-15,IT,
V015,IBM India,Facilities,30440.56,2023-05-07,HR,Cheque
V014,SAP India,Telecommunication,,2023-08-18,Administration,
V003,Wipro Technologies,Cloud Infra,6707.92,2023-04-08,Sales,Bank Transfer
V019,DHL India,CLOUD,5896.91,2023-07-01,Procurement,
V016,Reliance Jio,,8291.31,2023-06-14,Administration,
V010,Capgemini India,LEGAL,64125.64,2023-11-22,HR,NEFT
V004,HCL Technologies,FACILITIES,10770.89,2023-02-02,R&D,Cheque
V011,Amazon Web Services,Marketing,2557.12,2023-07-26,IT,Bank Transfer
V020,Blue Dart Express,IT services,24694.53,2023-04-16,HR,Bank Transfer
V009,,cloud infrastructure,187654.52,2023-07-30,IT,Bank Transfer
V014,SAP India,HR & Payroll,39692.35,2023-03-23,Marketing,
V007,Mphasis,HR Payroll,12194.44,2023-03-14,Marketing,Bank Transfer
V018,BSNL,Legal & Compliance,12919.06,2023-05-19,Procurement,NEFT
V011,,Logistics,24070.51,2023-05-24,Legal,UPI
V005,Tech Mahindra,Telecom,16118.03,2023-12-28,Sales,Cheque
V016,Reliance Jio,it services,204819.08,2023-03-23,Sales,Bank Transfer
V013,ORACLE INDIA,Marketing,271502.0,2023-01-08,Legal,RTGS
V016,Reliance Jio,HR/Payroll,64522.92,2023-03-09,Operations,Credit Card
V016,reliance jio,Cloud Infrastructure,8230.97,2023-11-20,HR,Credit Card
V003,Wipro Technologies,Human Resources,30611.92,2023-06-16,Legal,NEFT
V007,Mphasis,Cloud Infra,72021.39,2023-03-01,Administration,RTGS
V012,Microsoft India,IT Services,49675.46,2023-09-08,Procurement,Bank Transfer
V006,L&T Infotech,Human Resources,3847.0,2023-11-21,Legal,Bank Transfer
V004,HCL Technologies,TELECOM,40928.49,2023-12-06,Marketing,Cheque
V006,L&T Infotech,Legal & Compliance,6779.91,2023-01-12,Finance,NEFT
V010,Capgemini India,Telecom,168248.59,2023-09-03,Marketing,NEFT
V018,BSNL,Cloud Infrastructure,75660.5,2023-10-07,IT,Bank Transfer
V005,Tech Mahindra,Cloud Infrastructure,3038.35,2023-10-16,Sales,Bank Transfer
V008,Hexaware Technologies,HR & Payroll,3631.77,2023-01-24,Marketing,Bank Transfer
V003,wipro technologies,Telecommunication,4702.93,2023-03-09,Operations,UPI
V012,Microsoft India,TELECOM,53490.66,2023-10-05,IT,Credit Card
V018,BSNL,Facility Management,10904.87,2023-03-20,Marketing,NEFT
V014,SAP India,MARKETING,2839.33,2023-09-24,R&D,NEFT
V017,Airtel Business,Human Resources,58809.23,2023-02-19,Operations,UPI
V012,Microsoft India,facilities,4648.22,2023-08-09,Legal,Bank Transfer
V005,Tech Mahindra,CLOUD,9418.48,2023-07-11,IT,Credit Card
V005,tech mahindra,Legal,5276.51,2023-08-14,Operations,Bank Transfer
V006,L&T Infotech,LEGAL,17838.73,2023-12-07,HR,UPI
V004,HCL Technologies,Logistic,241604.02,05/07/2023,R&D,UPI
V018,BSNL,,21161.13,2023-04-06,IT,Credit Card
V012,,legal compliance,45421.7,2023-01-15,HR,RTGS
V015,IBM India,it services,18463.12,2023-09-15,IT,RTGS
V008,Hexaware Technologies,cloud infrastructure,54041.96,2023-01-20,Procurement,
V019,DHL India,Logistic,-38356.77,2023-09-15,Procurement,UPI
V016,Reliance Jio,HR/Payroll,40912.82,2023-08-11,R&D,NEFT
V016,Reliance Jio,Facilities,128612.91,2023-12-27,Sales,NEFT
V008,Hexaware Technologies,Marketing,43498.1,2023-02-24,Administration,NEFT
V002,Infosys Ltd,Human Resources,97782.37,2023-07-23,Finance,
V001,Tata Consultancy Services,IT services,79001.83,2023-04-12,Sales,Credit Card
V003,Wipro Technologies,logistics,17201.65,2023-12-15,R&D,UPI
V020,Blue Dart Express,Mktg,13397.99,2023-02-23,R&D,Cheque
V017,Airtel Business,,20894.34,2023-07-09,HR,RTGS
V011,Amazon Web Services,Cloud Infra,134153.6,2023-09-18,Procurement,RTGS
V004,,logistics,12214.4,2023-02-27,Legal,RTGS
V008,Hexaware Technologies,telecom,27052.49,2023-12-10,Legal,Credit Card
V015,IBM India,Supply Chain,85300.69,2023-10-30,R&D,Bank Transfer
V011,Amazon Web Services,Marketing,2557.12,2023-07-26,IT,Bank Transfer
V009,Cognizant India,LEGAL,,10/05/2023,Administration,NEFT
V015,IBM India,cloud infrastructure,7590.38,2023-03-05,IT,UPI
V014,SAP India,Mktg,57577.0,2023-02-15,Procurement,Credit Card
V011,Amazon Web Services,Legal,18541.8,01/07/2023,Sales,Credit Card
V004,HCL Technologies,Supply Chain,24509.24,2023-10-24,Operations,Bank Transfer
V019,DHL India,Legal & Compliance,79353.63,2023-03-19,Legal,Cheque
V002,Infosys Ltd,legal compliance,61857.17,2023-12-14,Sales,NEFT
V008,Hexaware Technologies,marketing,48181.84,2023-10-29,Finance,UPI
V012,,FACILITIES,349208.02,2023-06-19,Sales,RTGS
V018,BSNL,Mktg,52148.82,2023-07-14,Sales,Cheque
V007,Mphasis,facilities,113607.93,2023-05-30,Legal,Credit Card
V013,,Logistics,14531.72,2023-11-25,Operations,UPI
V017,Airtel Business,telecom,77189.18,2023-01-12,Marketing,Cheque
V016,Reliance Jio,it services,46659.71,2023-07-14,IT,Bank Transfer
V001,Tata Consultancy Services,Mktg,184360.22,2023-07-11,Administration,Cheque
V017,Airtel Business,LEGAL,6952.08,2023-07-23,Operations,
V001,Tata Consultancy Services,Facility Management,8601.09,2023-12-07,IT,Credit Card
V013,Oracle India,it services,3863.32,2023-02-03,Legal,RTGS
V013,Oracle India,IT services,20538.69,2023-02-04,Legal,RTGS
V005,Tech Mahindra,HR Payroll,502707.37,2023-06-12,Procurement,RTGS
V012,Microsoft India,Marketing,14791.62,2023-10-15,Procurement,UPI
V005,Tech Mahindra,telecom,59040.45,2023-05-31,Finance,NEFT
V002,,Logistic,195507.33,2023-03-05,Administration,Cheque
V016,Reliance Jio,Human Resources,22891.78,2023-07-26,Marketing,NEFT
V009,Cognizant India,Logistics,115387.51,2023-07-15,R&D,
V008,HEXAWARE TECHNOLOGIES,Telecommunication,18173.68,10/07/2023,Marketing,Bank Transfer
V019,DHL India,it services,69705.34,2023-01-02,Legal,Cheque
V016,Reliance Jio,Telecommunication,101004.46,2023-11-12,Administration,Bank Transfer
V003,Wipro Technologies,HR Payroll,66493.26,2023-02-12,Marketing,RTGS
V004,HCL Technologies,Legal,481094.48,2023-11-11,R&D,UPI
V001,Tata Consultancy Services,Facility Management,15811.75,2023-06-07,R&D,
V003,Wipro Technologies,Legal & Compliance,8491.16,2023-09-24,Marketing,Cheque
V007,Mphasis,HR/Payroll,56031.8,2023-05-26,Operations,UPI
V010,Capgemini India,LEGAL,101639.91,2023-05-14,Marketing,RTGS
V005,Tech Mahindra,IT SERVICES,31735.98,2023-12-02,Sales,Cheque
V014,,telecom,36539.03,2023-08-11,IT,NEFT
V016,Reliance Jio,Supply Chain,12268.87,2023-07-22,Operations,
V011,amazon web services,Cloud Infra,48916.24,2023-10-21,Operations,Credit Card
