vendor_id,vendor_name,category,spend_amount,date,department,payment_method
V019,DHL India,Telecommunication,17640.49,2023-04-08,Procurement,Bank Transfer
V018,BSNL,,21161.13,2023-04-06,IT,Credit Card
V016,Reliance Jio,Facility Management,18406.2,2023-06-14,Legal,Credit Card
V004,HCL Technologies,Cloud Infra,30763.46,2023-08-05,R&D,Bank Transfer
V020,Blue Dart Express,IT services,24694.53,2023-04-16,HR,Bank Transfer
V011,AMAZON WEB SERVICES,Mktg,57001.77,2023-04-23,R&D,Bank Transfer
V003,Wipro Technologies,,67233.1,2023-04-25,Legal,Credit Card
V019,DHL India,Mktg,70018.65,2023-01-27,HR,Bank Transfer
V014,SAP India,Facilities,237416.77,2023-07-24,Administration,NEFT
V001,Tata Consultancy Services,logistics,225877.68,2023-08-30,Finance,UPI
V007,Mphasis,legal compliance,13643.62,18/12/2023,Operations,RTGS
V019,DHL INDIA,Mktg,41723.07,2023-01-17,Marketing,RTGS
V009,Cognizant India,Cloud Infrastructure,16715.85,2023-11-27,HR,Cheque
V001,Tata Consultancy Services,HR & Payroll,10187.78,2023-10-19,Procurement,Cheque
V018,bsnl,logistics,31872.15,2023-05-27,Sales,Bank Transfer
V001,Tata Consultancy Services,Telecommunication,116119.37,2023-10-16,Operations,NEFT
V004,HCL Technologies,Telecom,13767.17,2023-05-19,Legal,Bank Transfer
V007,Mphasis,,13956.85,2023-07-04,Finance,Credit Card
V019,,logistics,503101.27,2023-01-21,R&D,
V008,Hexaware Technologies,facilities,20434.72,2023-05-23,Legal,
V018,BSNL,HR & Payroll,37242.45,2023-08-28,Sales,RTGS
V011,Amazon Web Services,Legal & Compliance,48550.25,2023-12-02,HR,Cheque
V007,Mphasis,facilities,72583.04,2023-12-15,Operations,Bank Transfer
V005,Tech Mahindra,Facility Management,13257.7,2023-01-14,Operations,Bank Transfer
V006,l&t infotech,Logistics,30127.31,2023-06-06,R&D,Credit Card
V009,,HR & Payroll,11408.25,2023-03-16,HR,Credit Card
V004,HCL Technologies,HR Payroll,16413.45,2023-01-20,IT,RTGS
V002,Infosys Ltd,Supply Chain,28829.86,2023-05-08,Operations,Bank Transfer
V005,Tech Mahindra,TELECOM,6909.42,2023-06-08,Sales,NEFT
V005,Tech Mahindra,Legal,9918.36,2023-01-22,Operations,Cheque
V017,airtel business,HR Payroll,45322.58,2023-12-02,Procurement,NEFT
V003,Wipro Technologies,MARKETING,45252.37,2023-02-12,Operations,RTGS
V018,BSNL,FACILITIES,4582.95,2023-07-24,R&D,RTGS
V002,Infosys Ltd,,54197.74,2023-10-30,Procurement,Cheque
V012,Microsoft India,HR & Payroll,125141.38,2023-06-07,Finance,RTGS
V004,HCL Technologies,Cloud Infra,67376.88,2023-06-08,Procurement,Credit Card
V014,SAP India,Human Resources,20635.21,2023-08-31,Sales,NEFT
V002,Infosys Ltd,TELECOM,39429.74,2023-01-27,Administration,NEFT
V020,Blue Dart Express,Legal,50616.3,2023-03-06,HR,
V008,Hexaware Technologies,it services,5283.08,2023-05-14,Marketing,
V004,HCL Technologies,Telecommunication,101486.25,2023-02-25,HR,RTGS
V014,SAP India,Legal & Compliance,204746.51,2023-08-19,Operations,Cheque
V007,Mphasis,facilities,113607.93,2023-05-30,Legal,Credit Card
V010,Capgemini India,TELECOM,6753.25,2023-02-11,Administration,UPI
V001,Tata Consultancy Services,TELECOM,96396.07,2023-08-17,IT,UPI
V002,Infosys Ltd,logistics,22877.32,2023-01-02,Finance,RTGS
V015,IBM India,HR/Payroll,583961.47,2023-07-10,Legal,RTGS
V010,Capgemini India,Human Resources,39037.43,2023-05-10,Finance,
V003,Wipro Technologies,Telecom,8124.67,2023-12-16,Operations,
V008,Hexaware Technologies,LEGAL,26936.65,2023-11-20,R&D,Cheque
V002,Infosys Ltd,Supply Chain,146648.89,2023-03-24,IT,RTGS
V002,Infosys Ltd,Human Resources,48725.6,12/10/2023,Procurement,Cheque
V011,Amazon Web Services,FACILITIES,166091.38,2023-12-20,IT,Cheque
V016,Reliance Jio,Cloud Infra,10045.99,2023-11-08,Legal,NEFT
V001,Tata Consultancy Services,MARKETING,58974.54,2023-12-06,Marketing,UPI
V002,Infosys Ltd,Legal & Compliance,13429.46,2023-09-27,Administration,Cheque
V016,,MARKETING,102632.12,2023-05-30,IT,Cheque
V013,Oracle India,Facility Management,11126.99,2023-12-26,Procurement,Cheque
V003,WIPRO TECHNOLOGIES,marketing,14030.31,2023-10-08,IT,Credit Card
V012,Microsoft India,Telecom,15116.77,2023-05-26,R&D,
V006,L&T Infotech,Supply Chain,47987.91,2023-12-20,Procurement,RTGS
V012,Microsoft India,it services,145762.38,2023-09-16,Sales,NEFT
V012,Microsoft India,HR/Payroll,69334.09,2023-05-07,Operations,Credit Card
V005,Tech Mahindra,Legal,85909.59,2023-01-24,Finance,Bank Transfer
V011,Amazon Web Services,TELECOM,55738.06,2023-06-03,R&D,Cheque
V019,DHL India,Human Resources,49049.8,2023-11-09,Operations,
V008,Hexaware Technologies,TELECOM,19601.47,2023-02-06,R&D,UPI
V013,Oracle India,legal compliance,13564.09,2023-07-22,Operations,Bank Transfer
V004,HCL Technologies,Supply Chain,353681.33,01/03/2023,Administration,Bank Transfer
V010,Capgemini India,Telecommunication,5359.83,2023-09-01,Legal,Bank Transfer
V019,DHL India,Logistic,67375.88,2023-07-27,Operations,Bank Transfer
V003,Wipro Technologies,legal compliance,13145.67,2023-10-12,IT,Bank Transfer
V007,Mphasis,Logistic,26283.9,2023-10-08,Legal,UPI
V020,Blue Dart Express,Telecommunication,10859.32,2023-12-07,Sales,
V003,Wipro Technologies,Facilities,92798.66,2023-11-17,Legal,Credit Card
V008,Hexaware Technologies,legal compliance,261440.3,2023-02-13,Administration,UPI
V001,Tata Consultancy Services,marketing,39227.61,2023-09-06,Legal,NEFT
V010,Capgemini India,Cloud Infra,14365.86,2023-11-01,R&D,UPI
V009,COGNIZANT INDIA,logistics,44703.95,2023-06-23,Marketing,RTGS
V007,Mphasis,Logistic,133207.25,2023-03-03,Legal,Bank Transfer
V002,Infosys Ltd,Marketing,96320.32,2023-08-14,Finance,RTGS
V008,,Supply Chain,24557.48,2023-06-19,Procurement,RTGS
V011,Amazon Web Services,Legal & Compliance,52759.56,2023-08-20,Legal,RTGS
V009,Cognizant India,logistics,8626.09,2023-01-16,Operations,RTGS
V015,IBM INDIA,HR/Payroll,220318.27,2023-08-22,Administration,Bank Transfer
V016,Reliance Jio,Legal & Compliance,18173.42,2023-05-24,Procurement,
V006,,Logistic,12877.17,2023-04-01,IT,Credit Card
V019,DHL India,marketing,97989.92,2023-04-21,R&D,
V014,SAP India,telecom,10832.39,2023-06-11,IT,
V010,Capgemini India,Facilities,22685.25,2023-04-12,Procurement,Bank Transfer
V020,Blue Dart Express,HR/Payroll,82085.55,2023-01-23,Administration,Cheque
V001,Tata Consultancy Services,Cloud Infra,8778.75,2023-11-22,Administration,Credit Card
V012,Microsoft India,legal compliance,41615.2,2023-10-15,Sales,Bank Transfer
V006,L&T Infotech,Human Resources,38421.66,2023-03-23,Sales,RTGS
V013,Oracle India,,4163.63,2023-08-17,IT,Bank Transfer
V018,BSNL,IT SERVICES,15392.5,13/11/2023,Legal,NEFT
V019,DHL India,Cloud Infra,6644.57,19/08/2023,Marketing,NEFT
V004,HCL Technologies,legal compliance,28289.71,2023-10-13,Legal,RTGS
V008,Hexaware Technologies,it services,10459.9,2023-10-22,HR,
V008,Hexaware Technologies,Cloud Infra,47520.24,2023-02-17,Finance,Cheque
V018,BSNL,Cloud Infrastructure,75660.5,2023-10-07,IT,Bank Transfer
V008,Hexaware Technologies,Logistic,9963.72,2023-09-17,Operations,
V018,BSNL,telecom,65532.6,2023-08-13,HR,
V008,Hexaware Technologies,IT Services,33973.73,2023-03-03,Legal,
V014,SAP India,Human Resources,20635.21,2023-08-31,Sales,NEFT
V015,IBM India,Facilities,-51621.16,2023-02-24,Administration,NEFT
V018,bsnl,Marketing,109254.39,2023-07-02,Marketing,
V019,DHL India,Legal,63229.37,2023-01-22,R&D,
V001,tata consultancy services,Marketing,359079.81,24/06/2023,IT,Credit Card
V020,Blue Dart Express,HR & Payroll,8694.41,2023-11-18,Operations,Credit Card
V017,,Human Resources,6483.17,2023-08-10,IT,UPI
V013,Oracle India,telecom,6159.64,2023-02-07,Legal,Bank Transfer
V010,Capgemini India,Telecom,168248.59,2023-09-03,Marketing,NEFT
V016,Reliance Jio,TELECOM,697941.48,2023-10-23,Operations,Credit Card
V018,BSNL,Facilities,214471.68,2023-08-03,IT,NEFT
V005,Tech Mahindra,Marketing,141871.75,2023-11-05,IT,NEFT
V018,BSNL,Marketing,49466.97,2023-09-05,HR,RTGS
V008,Hexaware Technologies,,40798.28,2023-10-26,Marketing,Credit Card
V018,,HR Payroll,14698.73,2023-12-02,Procurement,Bank Transfer
V008,Hexaware Technologies,Logistic,3343.98,2023-05-20,HR,RTGS
V011,Amazon Web Services,,53578.37,2023-09-08,Sales,RTGS
V014,SAP India,Mktg,13763.94,2023-04-23,Administration,RTGS
V008,Hexaware Technologies,telecom,20673.97,2023-03-25,Legal,RTGS
V004,HCL Technologies,cloud infrastructure,35732.05,09/04/2023,HR,NEFT
V017,Airtel Business,Telecommunication,27405.4,2023-08-12,Administration,
V019,DHL India,Logistic,33211.95,2023-04-10,Operations,RTGS
V008,Hexaware Technologies,Marketing,14187.21,2023-09-18,R&D,Credit Card
V009,Cognizant India,Cloud Infrastructure,35785.71,2023-08-05,Finance,RTGS
V004,HCL Technologies,Logistics,82744.45,2023-03-18,R&D,RTGS
V003,Wipro Technologies,Cloud Infrastructure,17663.11,2023-06-19,Finance,Bank Transfer
V004,HCL Technologies,legal compliance,-73569.12,2023-07-07,Procurement,Bank Transfer
V004,HCL Technologies,Supply Chain,9361.42,2023-06-14,Administration,RTGS
V002,Infosys Ltd,MARKETING,111027.83,2023-07-01,Operations,
V009,COGNIZANT INDIA,it services,340758.54,2023-09-12,R&D,
V020,Blue Dart Express,Telecommunication,22153.43,2023-06-22,Operations,RTGS
V013,Oracle India,HR Payroll,3147.14,2023-04-13,IT,RTGS
V014,SAP India,Telecommunication,27967.06,2023-11-30,Administration,NEFT
V001,Tata Consultancy Services,cloud infrastructure,54849.15,2023-05-16,IT,Bank Transfer
V019,dhl india,LEGAL,19498.17,2023-07-19,Marketing,
V002,Infosys Ltd,Facility Management,49596.08,2023-12-18,Sales,
V018,BSNL,logistics,10206.16,2023-05-08,Administration,
V006,L&T INFOTECH,,,2023-08-08,HR,Credit Card
V001,Tata Consultancy Services,MARKETING,8391.61,2023-07-28,IT,Cheque
V003,Wipro Technologies,Cloud Infrastructure,12373.28,2023-01-17,Administration,RTGS
V014,SAP India,FACILITIES,8643.41,2023-09-19,R&D,Bank Transfer
V006,L&T Infotech,Human Resources,168251.0,2023-03-27,Sales,Cheque
V006,L&T Infotech,Telecommunication,,2023-07-04,Operations,RTGS
V002,Infosys Ltd,Marketing,21912.63,2023-04-24,Legal,Credit Card
V014,SAP India,HR Payroll,187259.22,2023-02-17,Marketing,Bank Transfer
V004,HCL Technologies,Supply Chain,13604.22,2023-11-24,Operations,RTGS
V019,DHL India,Facilities,207186.02,2023-06-19,Sales,Cheque
V003,WIPRO TECHNOLOGIES,marketing,114253.02,2023-01-31,Finance,
V013,Oracle India,cloud infrastructure,5894.47,2023-09-29,HR,NEFT
V016,Reliance Jio,cloud infrastructure,475790.5,2023-03-05,Sales,RTGS
V005,Tech Mahindra,HR & Payroll,5762.13,2023-07-16,R&D,Cheque
V016,Reliance Jio,MARKETING,26106.46,2023-01-04,IT,Cheque
V002,Infosys Ltd,Facilities,19765.0,2023-06-13,Sales,Credit Card
V015,,cloud infrastructure,15308.86,2023-10-03,Operations,NEFT
V004,HCL Technologies,CLOUD,15682.95,2023-09-18,HR,Bank Transfer
V018,BSNL,Legal & Compliance,78782.89,2023-05-29,Marketing,UPI
V017,Airtel Business,legal compliance,54454.63,2023-11-28,Sales,UPI
V008,Hexaware Technologies,Logistic,75542.02,2023-12-20,HR,Credit Card
V011,Amazon Web Services,Supply Chain,20229.0,2023-03-18,HR,UPI
V018,BSNL,IT services,207781.2,2023-01-08,IT,RTGS
V011,Amazon Web Services,Human Resources,40064.62,2023-05-07,Finance,Credit Card
V012,Microsoft India,Logistics,56691.24,2023-05-26,Operations,Bank Transfer
V001,Tata Consultancy Services,Mktg,106886.18,2023-10-26,Finance,Cheque
V006,L&T Infotech,IT Services,27696.7,2023-06-15,R&D,Cheque
V018,BSNL,telecom,,2023-11-20,Administration,NEFT
V011,Amazon Web Services,Mktg,35496.19,2023-01-09,IT,RTGS
V015,IBM India,cloud infrastructure,430583.92,2023-06-02,HR,
V007,Mphasis,Cloud Infra,8458.89,2023-08-17,Sales,UPI
V014,SAP India,HR & Payroll,28491.72,2023-10-09,Finance,NEFT
V014,SAP India,logistics,9213.6,2023-09-20,HR,Bank Transfer
V012,Microsoft India,,33684.23,2023-01-09,Operations,UPI
V005,Tech Mahindra,,24674.51,2023-09-17,Legal,RTGS
V005,Tech Mahindra,HR/Payroll,18896.67,2023-09-28,Marketing,
V004,HCL Technologies,Cloud Infra,160392.56,2023-03-14,Operations,RTGS
V020,Blue Dart Express,marketing,32632.24,2023-07-30,IT,UPI
V010,Capgemini India,cloud infrastructure,27773.7,2023-12-02,Operations,Credit Card
V002,Infosys Ltd,Cloud Infrastructure,11785.32,2023-10-22,Legal,Cheque
V014,SAP India,CLOUD,12048.45,2023-03-02,Administration,Credit Card
V014,SAP India,Facility Management,77308.15,2023-11-10,Sales,Cheque
V015,IBM India,FACILITIES,34833.88,2023-10-19,Marketing,UPI
V003,Wipro Technologies,TELECOM,114096.76,2023-10-16,Administration,
V007,Mphasis,telecom,82317.88,2023-04-06,Marketing,Bank Transfer
V002,Infosys Ltd,Supply Chain,146648.89,2023-03-24,IT,RTGS
V008,Hexaware Technologies,Logistics,13097.63,2023-01-26,Administration,Bank Transfer
V018,BSNL,it services,6159.17,2023-12-01,Operations,
V017,Airtel Business,Cloud Infrastructure,90130.08,2023-05-25,Administration,
V005,Tech Mahindra,FACILITIES,20240.68,2023-11-29,Administration,RTGS
V005,Tech Mahindra,legal compliance,33811.95,2023-02-09,Administration,UPI
V015,IBM India,Telecommunication,47086.91,2023-07-08,HR,Credit Card
V014,SAP India,Marketing,76681.82,2023-10-31,Administration,Cheque
V013,Oracle India,IT SERVICES,27332.12,20/10/2023,Administration,Credit Card
V018,BSNL,HR Payroll,13265.73,2023-03-25,HR,
V011,Amazon Web Services,Marketing,25026.23,2023-11-09,IT,
V003,Wipro Technologies,Legal & Compliance,64793.91,2023-11-02,Procurement,UPI
V011,Amazon Web Services,logistics,,2023-12-23,Administration,Credit Card
V020,Blue Dart Express,IT SERVICES,121485.64,2023-06-19,Procurement,Credit Card
V008,Hexaware Technologies,legal compliance,6589.91,2023-10-26,Operations,UPI
V013,Oracle India,it services,39488.41,2023-08-14,IT,Cheque
V004,HCL Technologies,Marketing,210823.91,2023-07-11,IT,
V016,Reliance Jio,logistics,12488.74,2023-12-20,Finance,RTGS
V015,IBM India,Cloud Infrastructure,17689.91,2023-01-23,Marketing,
V001,Tata Consultancy Services,logistics,22062.94,2023-11-07,R&D,Credit Card
V008,Hexaware Technologies,IT Services,36886.55,2023-03-16,Marketing,NEFT
V019,DHL India,Telecom,93900.9,2023-12-15,Operations,NEFT
V020,,Cloud Infra,38942.85,2023-08-15,Marketing,Credit Card
V016,Reliance Jio,MARKETING,26106.46,2023-01-04,IT,Cheque
V006,L&T Infotech,HR & Payroll,4945.22,2023-08-05,Finance,Bank Transfer
V011,Amazon Web Services,Logistic,257530.53,2023-03-22,Marketing,Credit Card
V017,Airtel Business,IT services,39848.58,2023-07-03,Procurement,Cheque
V004,HCL Technologies,IT Services,-5648.83,2023-08-25,Sales,Cheque
V004,HCL Technologies,it services,59606.37,2023-01-23,HR,Cheque
V004,HCL Technologies,LEGAL,12932.57,2023-05-16,Procurement,Cheque
V014,SAP India,Human Resources,104607.2,2023-05-24,Marketing,Cheque
V020,Blue Dart Express,IT services,8144.62,2023-12-03,R&D,
V007,Mphasis,Facilities,47712.65,2023-07-30,HR,Bank Transfer
V016,Reliance Jio,Telecom,233603.93,2023-03-27,Administration,Bank Transfer
V002,Infosys Ltd,MARKETING,72538.18,2023-05-14,Marketing,
V009,Cognizant India,telecom,16058.13,2023-12-13,Marketing,UPI
V009,Cognizant India,CLOUD,153500.13,2023-01-28,Administration,
V018,BSNL,Facilities,20824.78,2023-11-24,Marketing,Credit Card
V020,Blue Dart Express,facilities,42484.25,2023-09-27,Administration,Cheque
V004,HCL Technologies,IT SERVICES,-51810.3,2023-09-30,Legal,Cheque
V017,Airtel Business,LEGAL,72046.61,2023-11-27,Legal,
V010,Capgemini India,IT services,1870.62,2023-04-09,IT,
V019,DHL India,,126127.42,2023-11-10,Legal,Bank Transfer
V014,SAP India,HR Payroll,33547.05,2023-05-13,R&D,RTGS
V016,Reliance Jio,Cloud Infrastructure,20926.4,2023-05-12,Operations,Credit Card
V014,SAP India,Facility Management,39773.87,2023-07-15,Legal,Cheque
V017,Airtel Business,CLOUD,97370.93,2023-03-10,Administration,
V017,Airtel Business,Telecom,25366.66,2023-09-01,IT,Cheque
V006,L&T Infotech,CLOUD,10622.55,2023-05-14,Marketing,Credit Card
V002,,HR Payroll,51864.07,2023-09-29,HR,Cheque
V012,Microsoft India,Telecommunication,18176.31,2023-11-30,R&D,
V011,Amazon Web Services,telecom,20471.95,2023-07-17,Marketing,Credit Card
V019,DHL India,MARKETING,18197.11,2023-07-08,Administration,UPI
V012,MICROSOFT INDIA,HR/Payroll,37885.22,2023-03-22,Legal,RTGS
V015,IBM India,Human Resources,125361.68,2023-12-21,Administration,Cheque
V007,Mphasis,Telecommunication,14362.68,2023-01-24,Marketing,Bank Transfer
V019,DHL INDIA,legal compliance,74175.44,2023-02-01,HR,Credit Card
V013,Oracle India,HR Payroll,55035.73,2023-08-25,HR,Credit Card
V009,Cognizant India,MARKETING,89032.11,2023-10-13,Marketing,RTGS
V014,SAP India,Logistic,21251.49,2023-06-09,R&D,RTGS
V009,Cognizant India,IT SERVICES,15334.6,2023-04-07,Operations,
V016,,MARKETING,102632.12,2023-05-30,IT,Cheque
V005,Tech Mahindra,Logistics,53879.28,2023-06-17,Procurement,NEFT
V017,Airtel Business,MARKETING,53761.5,2023-12-22,HR,RTGS
V008,Hexaware Technologies,,149515.69,2023-09-11,R&D,UPI
V013,ORACLE INDIA,Marketing,50878.22,2023-10-11,Legal,RTGS
V020,Blue Dart Express,telecom,97389.35,2023-11-29,Marketing,Cheque
V004,HCL Technologies,IT SERVICES,12999.93,2023-03-12,Finance,Credit Card
V013,Oracle India,Logistic,,2023-12-04,Finance,Cheque
V011,Amazon Web Services,MARKETING,35517.62,2023-10-09,Administration,Credit Card
V012,Microsoft India,Legal & Compliance,17689.54,2023-01-07,Procurement,RTGS
V016,Reliance Jio,HR Payroll,22870.97,2023-06-13,Legal,Credit Card
V006,L&T Infotech,,11062.94,2023-10-27,IT,Cheque
V001,Tata Consultancy Services,Supply Chain,39380.81,2023-01-30,HR,NEFT
V002,Infosys Ltd,Facility Management,243584.74,2023-03-23,HR,
V001,,IT Services,2293.18,2023-01-01,Legal,
V013,Oracle India,,36868.43,2023-02-12,IT,Cheque
V020,Blue Dart Express,Marketing,41485.83,2023-07-24,Marketing,Credit Card
V001,Tata Consultancy Services,Facilities,12573.81,2023-08-21,Procurement,RTGS
V013,,IT SERVICES,96281.45,2023-01-01,Procurement,UPI
V008,Hexaware Technologies,TELECOM,18494.99,2023-01-25,Operations,
V012,Microsoft India,it services,75886.95,2023-04-25,IT,
V006,,Facilities,52510.03,2023-12-15,IT,NEFT
V012,Microsoft India,CLOUD,13485.95,2023-12-05,Finance,Cheque
V012,Microsoft India,,9125.32,2023-04-26,HR,Bank Transfer
V019,DHL India,marketing,25302.93,2023-05-03,Legal,RTGS
V013,,Human Resources,28899.9,2023-05-02,IT,UPI
V008,Hexaware Technologies,IT SERVICES,89901.46,2023-01-11,Marketing,RTGS
V009,Cognizant India,Telecom,10150.07,2023-03-04,Administration,Bank Transfer
V006,L&T Infotech,Human Resources,438222.02,2023-02-19,Marketing,Cheque
V003,Wipro Technologies,HR Payroll,-19219.7,2023-06-17,Sales,Cheque
V011,Amazon Web Services,HR & Payroll,345036.33,2023-06-14,Marketing,UPI
V020,Blue Dart Express,MARKETING,229956.14,2023-04-26,Marketing,
V014,SAP India,Telecom,68580.6,2023-07-28,HR,Credit Card
V008,HEXAWARE TECHNOLOGIES,Cloud Infra,31938.38,2023-03-01,Procurement,Cheque
V012,Microsoft India,facilities,3142.96,2023-08-08,HR,
V015,IBM India,TELECOM,26820.4,2023-03-04,HR,NEFT
V011,Amazon Web Services,Cloud Infrastructure,3697907.91,2023-11-21,Sales,Bank Transfer
V007,Mphasis,telecom,82317.88,2023-04-06,Marketing,Bank Transfer
V013,Oracle India,HR/Payroll,12221.15,2023-09-10,Procurement,Cheque
V016,Reliance Jio,Logistic,96395.19,2023-01-05,Finance,RTGS
V001,Tata Consultancy Services,Facility Management,16610.61,2023-08-01,Operations,NEFT
V006,L&T Infotech,MARKETING,,2023-05-14,Finance,Cheque
V007,Mphasis,Mktg,91210.17,2023-02-10,Marketing,
V010,Capgemini India,FACILITIES,327011.47,2023-02-07,Procurement,Cheque
V011,Amazon Web Services,Facilities,174306.64,2023-12-06,Procurement,
V020,Blue Dart Express,IT services,108932.37,2023-11-26,Operations,Cheque
V008,Hexaware Technologies,cloud infrastructure,1461036.93,24/02/2023,IT,NEFT
V019,DHL India,CLOUD,71365.02,2023-07-06,Sales,Bank Transfer
V017,Airtel Business,IT SERVICES,90288.29,2023-07-08,Finance,
V004,HCL Technologies,HR Payroll,54513.07,2023-12-22,HR,Credit Card
V005,Tech Mahindra,Human Resources,103295.56,2023-12-02,Legal,Bank Transfer
V015,IBM India,HR Payroll,31651.86,2023-01-13,Legal,Cheque
V005,TECH MAHINDRA,,35969.72,2023-09-13,Marketing,Cheque
V002,Infosys Ltd,CLOUD,463511.95,2023-08-12,Legal,Cheque
V010,Capgemini India,IT Services,19214.08,2023-04-13,Legal,RTGS
V011,Amazon Web Services,TELECOM,25683.64,2023-03-28,Administration,Credit Card
V012,,Cloud Infra,5864.99,2023-02-10,Procurement,Cheque
V001,Tata Consultancy Services,Logistics,46113.99,2023-10-20,HR,Cheque
V008,hexaware technologies,Logistics,26434.14,2023-03-06,Finance,Credit Card
V011,Amazon Web Services,Telecom,80382.91,2023-03-14,HR,Bank Transfer
V013,Oracle India,Marketing,12356.07,2023-10-07,R&D,NEFT
V001,Tata Consultancy Services,facilities,38492.78,2023-01-17,R&D,NEFT
V004,HCL Technologies,Logistics,553950.95,2023-04-14,Sales,RTGS
V018,BSNL,Cloud Infra,19847.42,2023-05-10,Legal,RTGS
V003,Wipro Technologies,Legal,49605.62,2023-12-21,R&D,Cheque
V007,Mphasis,Telecommunication,34787.34,2023-02-07,R&D,Cheque
V003,Wipro Technologies,HR Payroll,77707.17,2023-02-16,Procurement,NEFT
V013,Oracle India,telecom,3457.83,2023-08-05,Marketing,Credit Card
